id,base_id,text,sentiment,pattern_type
positive_01_clean,positive_01,bohot badhiya service h aapki,positive,clean
positive_01_shorthand,positive_01,bhot badhiya service h aapki,positive,shorthand
positive_01_typo,positive_01,bohot badhiay service h aapki,positive,typo
positive_01_punctuation,positive_01,bohot badhiya service h aapki!,positive,punctuation
positive_01_stress,positive_01,bohot badhiya servvvice h aapki,positive,stress
positive_01_shorthand_typo,positive_01,bhot badhiya service h aapik,positive,shorthand_typo
positive_01_code_mix,positive_01,"actually, bohot badhiya service h aapki",positive,code_mix
positive_01_emoji_reinforce,positive_01,bohot badhiya service h aapki 👍,positive,emoji_reinforce
positive_01_shorthand_emoji,positive_01,bhot badhiya service h aapki 👍,positive,shorthand_emoji
positive_01_stress_emoji,positive_01,bohot badhiya servvvice h aapki 👍,positive,stress_emoji
positive_02_clean,positive_02,delivery time pe ho gayi bahut accha laga,positive,clean
positive_02_shorthand,positive_02,delivery time pe ho gayi bahut accha laga,positive,shorthand
positive_02_typo,positive_02,delivery time pe ho gayi bahut accah laga,positive,typo
positive_02_punctuation,positive_02,delivery time pe ho gayi bahut accha laga!,positive,punctuation
positive_02_stress,positive_02,delivery time pe ho gayi bahhhut accha laga,positive,stress
positive_02_shorthand_typo,positive_02,delivery time pe ho gayi bahut accha laga,positive,shorthand_typo
positive_02_code_mix,positive_02,"just saying, delivery time pe ho gayi bahut accha laga",positive,code_mix
positive_02_emoji_reinforce,positive_02,delivery time pe ho gayi bahut accha laga ❤️,positive,emoji_reinforce
positive_02_shorthand_emoji,positive_02,delivery time pe ho gayi bahut accha laga ❤️,positive,shorthand_emoji
positive_02_stress_emoji,positive_02,delivery time pe ho gayi bahhhut accha laga ❤️,positive,stress_emoji
positive_03_clean,positive_03,support team ne turant help kri thank you,positive,clean
positive_03_shorthand,positive_03,support team ne turant help kri thank you,positive,shorthand
positive_03_typo,positive_03,support team ne turant hlep kri thank you,positive,typo
positive_03_punctuation,positive_03,support team ne turant help kri thank you!,positive,punctuation
positive_03_stress,positive_03,support team ne turaaant help kri thank you,positive,stress
positive_03_shorthand_typo,positive_03,support team ne turant help kri tahnk you,positive,shorthand_typo
positive_03_code_mix,positive_03,"literally, support team ne turant help kri thank you",positive,code_mix
positive_03_emoji_reinforce,positive_03,support team ne turant help kri thank you 👍,positive,emoji_reinforce
positive_03_shorthand_emoji,positive_03,support team ne turant help kri thank you 👍,positive,shorthand_emoji
positive_03_stress_emoji,positive_03,support team ne turaaant help kri thank you 👍,positive,stress_emoji
positive_04_clean,positive_04,app bohot smooth chal raha h ab,positive,clean
positive_04_shorthand,positive_04,app bhot smooth chal rha h ab,positive,shorthand
positive_04_typo,positive_04,app bohot smooth chal arha h ab,positive,typo
positive_04_punctuation,positive_04,app bohot smooth chal raha h ab!,positive,punctuation
positive_04_stress,positive_04,apppp bohot smooth chal raha h ab,positive,stress
positive_04_shorthand_typo,positive_04,app hbot smooth chal rha h ab,positive,shorthand_typo
positive_04_code_mix,positive_04,"actually, app bohot smooth chal raha h ab",positive,code_mix
positive_04_emoji_reinforce,positive_04,app bohot smooth chal raha h ab ❤️,positive,emoji_reinforce
positive_04_shorthand_emoji,positive_04,app bhot smooth chal rha h ab ❤️,positive,shorthand_emoji
positive_04_stress_emoji,positive_04,apppp bohot smooth chal raha h ab ❤️,positive,stress_emoji
positive_05_clean,positive_05,refund itni jaldi mil gaya kamal h,positive,clean
positive_05_shorthand,positive_05,refund itni jaldi mil gaya kamal h,positive,shorthand
positive_05_typo,positive_05,refund itni jaldi mil gaya kaaml h,positive,typo
positive_05_punctuation,positive_05,refund itni jaldi mil gaya kamal h!,positive,punctuation
positive_05_stress,positive_05,refuuund itni jaldi mil gaya kamal h,positive,stress
positive_05_shorthand_typo,positive_05,refund itni jaldi mil gaya kamla h,positive,shorthand_typo
positive_05_code_mix,positive_05,"honestly, refund itni jaldi mil gaya kamal h",positive,code_mix
positive_05_emoji_reinforce,positive_05,refund itni jaldi mil gaya kamal h ❤️,positive,emoji_reinforce
positive_05_shorthand_emoji,positive_05,refund itni jaldi mil gaya kamal h ❤️,positive,shorthand_emoji
positive_05_stress_emoji,positive_05,refuuund itni jaldi mil gaya kamal h ❤️,positive,stress_emoji
positive_06_clean,positive_06,customer care wale bohot polite the,positive,clean
positive_06_shorthand,positive_06,customer care wale bhot polite the,positive,shorthand
positive_06_typo,positive_06,customer care wael bohot polite the,positive,typo
positive_06_punctuation,positive_06,customer care wale bohot polite the!,positive,punctuation
positive_06_stress,positive_06,custooomer care wale bohot polite the,positive,stress
positive_06_shorthand_typo,positive_06,ucstomer care wale bhot polite the,positive,shorthand_typo
positive_06_code_mix,positive_06,"seriously, customer care wale bohot polite the",positive,code_mix
positive_06_emoji_reinforce,positive_06,customer care wale bohot polite the 😊,positive,emoji_reinforce
positive_06_shorthand_emoji,positive_06,customer care wale bhot polite the 😊,positive,shorthand_emoji
positive_06_stress_emoji,positive_06,custooomer care wale bohot polite the 😊,positive,stress_emoji
positive_07_clean,positive_07,order perfect condition me mila,positive,clean
positive_07_shorthand,positive_07,order perfect condition me mila,positive,shorthand
positive_07_typo,positive_07,order perfect condition me imla,positive,typo
positive_07_punctuation,positive_07,order perfect condition me mila!,positive,punctuation
positive_07_stress,positive_07,order perfffect condition me mila,positive,stress
positive_07_shorthand_typo,positive_07,roder perfect condition me mila,positive,shorthand_typo
positive_07_code_mix,positive_07,"literally, order perfect condition me mila",positive,code_mix
positive_07_emoji_reinforce,positive_07,order perfect condition me mila 😄,positive,emoji_reinforce
positive_07_shorthand_emoji,positive_07,order perfect condition me mila 😄,positive,shorthand_emoji
positive_07_stress_emoji,positive_07,order perfffect condition me mila 😄,positive,stress_emoji
positive_08_clean,positive_08,issue turant solve ho gya bohot badhiya,positive,clean
positive_08_shorthand,positive_08,issue turant solve ho gya bhot badhiya,positive,shorthand
positive_08_typo,positive_08,issue turant solve ho gya bohot bahdiya,positive,typo
positive_08_punctuation,positive_08,issue turant solve ho gya bohot badhiya!,positive,punctuation
positive_08_stress,positive_08,issue turant solve ho gya bohot badhhhiya,positive,stress
positive_08_shorthand_typo,positive_08,issue turnat solve ho gya bhot badhiya,positive,shorthand_typo
positive_08_code_mix,positive_08,"just saying, issue turant solve ho gya bohot badhiya",positive,code_mix
positive_08_emoji_reinforce,positive_08,issue turant solve ho gya bohot badhiya ❤️,positive,emoji_reinforce
positive_08_shorthand_emoji,positive_08,issue turant solve ho gya bhot badhiya ❤️,positive,shorthand_emoji
positive_08_stress_emoji,positive_08,issue turant solve ho gya bohot badhhhiya ❤️,positive,stress_emoji
positive_09_clean,positive_09,delivery boy bohot helpful tha,positive,clean
positive_09_shorthand,positive_09,delivery boy bhot helpful tha,positive,shorthand
positive_09_typo,positive_09,delivery boy bohot helpufl tha,positive,typo
positive_09_punctuation,positive_09,delivery boy bohot helpful tha!,positive,punctuation
positive_09_stress,positive_09,delivery boy bohhhot helpful tha,positive,stress
positive_09_shorthand_typo,positive_09,deliveyr boy bhot helpful tha,positive,shorthand_typo
positive_09_code_mix,positive_09,"literally, delivery boy bohot helpful tha",positive,code_mix
positive_09_emoji_reinforce,positive_09,delivery boy bohot helpful tha 👍,positive,emoji_reinforce
positive_09_shorthand_emoji,positive_09,delivery boy bhot helpful tha 👍,positive,shorthand_emoji
positive_09_stress_emoji,positive_09,delivery boy bohhhot helpful tha 👍,positive,stress_emoji
